,0,1
328,0.25,
329,0.22,
330,0.33,
331,0.27,
332,0.23,
333,0.29,
334,0.28,
335,0.27,
336,0.35,
337,0.27,
338,0.34,
339,0.27,
340,0.27,
341,0.29,
342,0.3,
343,0.36,
344,0.36,
345,0.25,
346,0.19,
347,0.29,
348,0.36,
349,0.3,
350,0.35,
351,0.34,
352,0.36,
353,0.34,
354,0.32,
355,0.46,
356,0.34,
357,0.34,
358,0.46,
359,0.31,
360,0.27,
361,0.4,
362,0.39,
363,0.34,
364,0.38,
365,0.41,
366,0.31,
367,0.35,
368,0.28,
369,0.46,
370,0.37,
371,0.33,
372,0.39,
373,0.28,
374,0.32,
375,0.3,
376,0.41,
377,0.4,
378,0.4,
379,0.31,
380,0.45,
381,0.43,
382,0.33,
383,0.41,
384,0.39,
385,0.41,
386,0.46,
387,0.38,
388,0.32,
389,0.42,
390,0.36,
391,0.42,
392,0.36,
393,0.43,
394,0.33,
395,0.29,
396,0.38,
397,0.38,
398,0.44,
399,0.39,
400,0.37,
401,0.38,
402,0.39,
403,0.39,
404,0.33,
405,0.4,
406,0.45,
407,0.36,
408,0.42,
409,0.5,
410,0.39,
411,0.51,
412,0.34,
413,0.43,
414,0.45,
415,0.46,
416,0.42,
417,0.38,
418,0.44,
419,0.38,
420,0.39,
421,0.45,
422,0.4,
423,0.49,
424,0.41,
425,0.47,
426,0.4,
427,0.43,
428,0.48,
429,0.52,
430,0.45,
431,0.41,
432,0.5,
433,0.47,
434,0.47,
435,0.51,
436,0.44,
437,0.45,
438,0.43,
439,0.51,
440,0.38,
441,0.51,
442,0.5,
443,0.56,
444,0.47,
445,0.54,
446,0.39,
447,0.45,
448,0.49,
449,0.44,
450,0.46,
451,0.57,
452,0.44,
453,0.37,
454,0.48,
455,0.46,
456,0.4,
457,0.54,
458,0.49,
459,0.45,
460,0.46,
461,0.49,
462,0.48,
463,0.49,
464,0.52,
465,0.46,
466,0.49,
467,0.56,
468,0.44,
469,0.46,
470,0.55,
471,0.49,
472,0.47,
473,0.52,
474,0.39,
475,0.54,
476,0.56,
477,0.59,
478,0.49,
479,0.42,
480,0.43,
481,0.5,
482,0.47,
483,0.5,
484,0.59,
485,0.49,
486,0.46,
487,0.44,
488,0.49,
489,0.53,
490,0.49,
491,0.53,
492,0.56,
493,0.51,
494,0.43,
495,0.58,
496,0.45,
497,0.53,
498,0.51,
499,0.52,
500,0.48,
501,0.5,
502,0.57,
503,0.44,
504,0.5,
505,0.42,
506,0.55,
507,0.47,
508,0.53,
509,0.54,
510,0.46,
511,0.51,
512,0.56,
513,0.54,
514,0.45,
515,0.57,
516,0.51,
517,0.57,
518,0.56,
519,0.6,
520,0.41,
521,0.43,
522,0.46,
523,0.48,
524,0.47,
525,0.53,
526,0.48,
527,0.59,
528,0.56,
529,0.53,
530,0.5,
531,0.58,
